Kanji,Level,HanViet,On_Kana,On_Romaji,Kun_Kana,Kun_Romaji,Examples
発,4,Phát,"ハツ, ホツ","hatsu, hotsu",,,発表 (はっぴょう) [happyou]: Announcement; 出発 (しゅっぱつ) [shuppatsu]: Departure
反,3,Phản,"ハン, ホン, タン","han, hon, tan","そ.る, そ.らす","soru, sorasu",反対 (はんたい) [hantai]: Opposite; 反省 (はんせい) [hansei]: Reflection
坂,3,Phản,ハン,han,さか,saka,坂 (さか) [saka]: Slope; 坂道 (さかみち) [sakamichi]: Sloped road
板,3,Bản,"ハン, バン","han, ban",いた,ita,板 (いた) [ita]: Board; 黒板 (こくばん) [kokuban]: Blackboard
皮,3,Bì,ヒ,hi,かわ,kawa,皮 (かわ) [kawa]: Skin/Peel; 皮肉 (ひにく) [hiniku]: Irony/Sarcasm
悲,3,Bi,ヒ,hi,"かな.しい, かな.しむ","kanashii, kanashimu",悲しい (かなしい) [kanashii]: Sad; 悲劇 (ひげき) [higeki]: Tragedy
美,3,Mỹ,ビ,bi,うつく.しい,utsukushii,美しい (うつくしい) [utsukushii]: Beautiful; 美術 (びじゅつ) [bijutsu]: Art
鼻,3,Tỵ,ビ,bi,はな,hana,鼻 (はな) [hana]: Nose; 耳鼻科 (じびか) [jibika]: Otorhinolaryngology
筆,3,Bút,ヒツ,hitsu,ふで,fude,筆 (ふで) [fude]: Writing brush; 鉛筆 (えんぴつ) [enpitsu]: Pencil
氷,3,Băng,ヒョウ,hyou,"こおり, ひ","koori, hi",氷 (こおり) [koori]: Ice; 氷山 (ひょうざん) [hyouzan]: Iceberg
表,3,Biểu,ヒョウ,hyou,"おもて, あらわ.す, あらわ.れる","omote, arawasu, arawareru",発表 (はっぴょう) [happyou]: Announcement; 表 (おもて) [omote]: Surface/Front
病,4,Bệnh,"ビョウ, ヘイ","byou, hei","や.む, -や.み, やまい","yamu, -yami, yamai",病院 (びょういん) [byouin]: Hospital; 病気 (びょうき) [byouki]: Illness
秒,3,Miểu,ビョウ,byou,,,秒 (びょう) [byou]: Second (time); 数秒 (すうびょう) [suubyou]: Few seconds
品,4,Phẩm,ヒン,hin,"しな, しな.やか","shina, shinayaka",品物 (しなもの) [shinamono]: Goods; 作品 (さくひん) [sakuhin]: Work (of art)
負,3,Phụ,フ,fu,"ま.ける, ま.かす, お.う","makeru, makasu, ou",負ける (まける) [makeru]: To lose; 勝負 (しょうぶ) [shoubu]: Match/Contest
部,4,Bộ,ブ,bu,へ,he,部屋 (へや) [heya]: Room; 全部 (ぜんぶ) [zenbu]: All
服,4,Phục,フク,fuku,,,服 (ふく) [fuku]: Clothes; 洋服 (ようふく) [youfuku]: Western clothes
福,3,Phúc,フク,fuku,,,幸福 (こうふく) [koufuku]: Happiness; 福袋 (ふくぶくろ) [fukubukuro]: Lucky bag
物,4,Vật,"ブツ, モツ","butsu, motsu",もの,mono,物 (もの) [mono]: Thing; 動物 (どうぶつ) [doubutsu]: Animal
平,4,Bình,"ヘイ, ビョウ","hei, byou","たい.ら, -だい.ら, ひら","taira, -daira, hira",平和 (へいわ) [heiwa]: Peace; 平日 (へいじつ) [heijitsu]: Weekday
返,3,Phản,ヘン,hen,"かえ.す, -かえ.す, かえ.る, -かえ.る","kaesu, -kaesu, kaeru, -kaeru",返す (かえす) [kaesu]: To return (something); 返事 (へんじ) [henji]: Reply
勉,4,Miễn,ベン,ben,つと.める,tsutomeru,勉強 (べんきょう) [benkyou]: Study; 勤勉 (きんべん) [kinben]: Diligence
放,3,Phóng,ホウ,hou,"はな.す, -っぱな.し, はな.つ, はな.れる, こ.く, ほう.る","hanasu, -ppanashi, hanatsu, hanareru, koku, houru",放送 (ほうそう) [housou]: Broadcasting; 手放す (てばなす) [tebanasu]: To let go
味,4,Vị,ミ,mi,"あじ, あじ.わう","aji, ajiwau",味 (あじ) [aji]: Taste; 意味 (いみ) [imi]: Meaning
命,3,Mệnh,"メイ, ミョウ","mei, myou",いのち,inochi,命 (いのち) [inochi]: Life; 運命 (うんめい) [unmei]: Fate
面,3,Diện,"メン, ベン","men, ben","おも, おもて, つら","omo, omote, tsura",画面 (がめん) [gamen]: Screen; 面白い (おもしろい) [omoshiroi]: Interesting
問,4,Vấn,モン,mon,"と.う, と.い, とん","tou, toi, ton",問題 (もんだい) [mondai]: Problem; 質問 (しつもん) [shitsumon]: Question
役,3,Dịch,"ヤク, エキ","yaku, eki",,,役に立つ (やくにたつ) [yakunitatsu]: Useful; 市役所 (しやくしょ) [shiyakusho]: City hall
薬,4,Dược,ヤク,yaku,くすり,kusuri,薬 (くすり) [kusuri]: Medicine; 薬局 (やっきょく) [yakkyoku]: Pharmacy
由,3,Do,"ユ, ユウ, ユイ","yu, yuu, yui","よし, よ.る","yoshi, yoru",自由 (じゆう) [jiyuu]: Freedom; 理由 (りゆう) [riyuu]: Reason
油,3,Du,ユ,yu,あぶら,abura,油 (あぶら) [abura]: Oil; 醤油 (しょうゆ) [shouyu]: Soy sauce
有,4,Hữu,"ユウ, ウ","yuu, u",あ.る,aru,有名 (ゆうめい) [yuumei]: Famous; 有料 (ゆうりょう) [yuuryou]: Fee-charging
遊,3,Du,"ユウ, ユ","yuu, yu","あそ.ぶ, あそ.ばす","asobu, asobasu",遊ぶ (あそぶ) [asobu]: To play; 遊園地 (ゆうえんち) [yuuenchi]: Amusement park
予,4,Dự,"ヨ, シャ","yo, sha",あらかじ.め,arakajime,予定 (よてい) [yotei]: Plan; 天気予報 (てんきよほう) [tenkiyohou]: Weather forecast
羊,3,Dương,ヨウ,you,ひつじ,hitsuji,羊 (ひつじ) [hitsuji]: Sheep; 羊毛 (ようもう) [youmou]: Wool
洋,4,Dương,ヨウ,you,,,洋服 (ようふく) [youfuku]: Western clothes; 西洋 (せいよう) [seiyou]: The West
葉,3,Diệp,ヨウ,you,は,ha,葉 (は) [ha]: Leaf; 言葉 (ことば) [kotoba]: Word/Language
陽,3,Dương,ヨウ,you,ひ,hi,太陽 (たいよう) [taiyou]: Sun; 陽気 (ようき) [youki]: Cheerful/Season
様,4,Dạng,ヨウ,you,さま,sama,王様 (おうさま) [ousama]: King; 様子 (ようす) [yousu]: Situation/Appearance
落,3,Lạc,ラク,raku,"お.ちる, お.とす","ochiru, otosu",落ちる (おちる) [ochiru]: To fall; 落語 (らくご) [rakugo]: Comic storytelling
流,3,Lưu,"リュウ, ル","ryuu, ru","なが.れる, なが.す","nagareru, nagasu",流れる (ながれる) [nagareru]: To flow; 流行 (りゅうこう) [ryuukou]: Fashion/Trend
旅,4,Lữ,リョ,ryo,たび,tabi,旅行 (りょこう) [ryokou]: Travel; 旅 (たび) [tabi]: Journey
両,3,Lưỡng,リョウ,ryou,てる,teru,両親 (りょうしん) [ryoushin]: Parents; 両方 (りょうほう) [ryouhou]: Both
緑,3,Lục,"リョク, ロク","ryoku, roku",みどり,midori,緑 (みどり) [midori]: Green; 緑茶 (りょくちゃ) [ryokucha]: Green tea
礼,3,Lễ,"レイ, ライ","rei, rai",,,お礼 (おれい) [orei]: Thanks/Bow; 失礼 (しつれい) [shitsurei]: Rude/Excuse me
列,3,Liệt,レツ,retsu,,,列車 (れっしゃ) [ressha]: Train; 行列 (ぎょうれつ) [gyouretsu]: Line/Queue
練,3,Luyện,レン,ren,"ね.る, ね.り","neru, neri",練習 (れんしゅう) [renshuu]: Practice; 訓練 (くんれん) [kunren]: Training
路,3,Lộ,ロ,ro,"-じ, みち","ji, michi",道路 (どうろ) [douro]: Road; 線路 (せんろ) [senro]: Railroad track
和,3,Hòa,"ワ, オ, カ","wa, o, ka","やわ.らぐ, やわ.らげる, なご.む, なご.やか","yawaragu, yawarageru, nagomu, nagoyaka",平和 (へいわ) [heiwa]: Peace; 和食 (わしょく) [washoku]: Japanese food
愛,3,Ái,アイ,ai,"いと.しい, かな.しい, め.でる, お.しむ, まな","itoshii, kanashii, mederu, oshimu, mana",愛 (あい) [ai]: Love; 可愛い (かわいい) [kawaii]: Cute
案,3,Án,アン,an,つくえ,tsukue,案内 (あんない) [annai]: Guide; 提案 (ていあん) [teian]: Proposal
以,4,Dĩ,イ,i,もっ.て,motte,以上 (いじょう) [ijou]: More than; 以外 (いがい) [igai]: Except
衣,3,Y,"イ, エ","i, e","ころも, きぬ, -ぎ","koromo, kinu, -gi","衣食住 (いしょくじゅう) [ishokujuu]: Food, clothing and shelter; 浴衣 (ゆかた) [yukata]: Yukata"
位,3,Vị,イ,i,"くらい, ぐらい","kurai, gurai",一位 (いちい) [ichii]: First place; 地位 (ちい) [chii]: Status
囲,3,Vi,イ,i,"かこ.む, かこ.う, かこ.い","kakomu, kakou, kakoi",囲む (かこむ) [kakomu]: To surround; 範囲 (はんい) [hani]: Range/Scope
胃,3,Vị,イ,i,,,胃 (い) [i]: Stomach; 胃腸 (いちょう) [ichou]: Stomach and intestines
印,3,Ấn,イン,in,"しるし, -じるし, しる.す","shirushi, -jirushi, shirusu",印刷 (いんさつ) [insatsu]: Printing; 目印 (めじるし) [mejirushi]: Mark/Sign
英,4,Anh,エイ,ei,はなぶさ,hanabusa,英語 (えいご) [eigo]: English; 英雄 (えいゆう) [eiyuu]: Hero
栄,3,Vinh,エイ,ei,"さか.える, は.える, -ば.え","sakaeru, haeru, -bae",栄養 (えいよう) [eiyou]: Nutrition; 光栄 (こうえい) [kouei]: Honor
塩,3,Diêm,エン,en,しお,shio,塩 (しお) [shio]: Salt; 食塩 (しょくえん) [shokuen]: Table salt
億,3,Ức,オク,oku,,,一億 (いちおく) [ichioku]: One hundred million
加,3,Gia,カ,ka,"くわ.える, くわ.わる","kuwaeru, kuwawaru",参加 (さんか) [sanka]: Participation; 増加 (ぞうか) [zouka]: Increase
果,3,Quả,カ,ka,"は.たす, は.てる, -は.てる, は.て","hatasu, hateru, -hateru, hate",結果 (けっか) [kekka]: Result; 果物 (くだもの) [kudamono]: Fruit
貨,3,Hóa,カ,ka,,,貨物 (かもつ) [kamotsu]: Cargo/Freight; 通貨 (つうか) [tsuuka]: Currency
課,3,Khóa,カ,ka,,,課長 (かちょう) [kachou]: Section manager; 課 (か) [ka]: Lesson/Section
芽,3,Nha,ガ,ga,め,me,芽 (め) [me]: Sprout/Bud; 発芽 (はつが) [hatsuga]: Germination
改,3,Cải,カイ,kai,"あらた.める, あらた.まる","aratameru, aratamaru",改正 (かいせい) [kaisei]: Revision/Amendment; 改める (あらためる) [aratameru]: To change/reform
械,3,Giới,カイ,kai,,,機械 (きかい) [kikai]: Machine; 器械 (きかい) [kikai]: Instrument/Apparatus
害,3,Hại,ガイ,gai,,,公害 (こうがい) [kougai]: Pollution; 被害 (ひがい) [higai]: Damage
各,3,Các,カク,kaku,おのおの,onoono,各自 (かくじ) [kakuji]: Each person; 各国 (かっこく) [kakkoku]: Each country
覚,3,Giác,カク,kaku,"おぼ.える, さ.ます, さ.める, さと.る","oboeru, samasu, sameru, satoru",覚える (おぼえる) [oboeru]: To remember; 感覚 (かんかく) [kankaku]: Sense/Sensation
完,3,Hoàn,カン,kan,,,完成 (かんせい) [kansei]: Completion; 完全 (かんぜん) [kanzen]: Perfect
官,3,Quan,カン,kan,,,警官 (けいかん) [keikan]: Police officer; 器官 (きかん) [kikan]: Organ (body)
管,3,Quản,カン,kan,くだ,kuda,管理 (かんり) [kanri]: Management; 水道管 (すいどうかん) [suidoukan]: Water pipe
関,3,Quan,カン,kan,"せき, -ぜき, かか.わる, からくり, かんぬき","seki, -zeki, kakawaru, karakuri, kannuki",関係 (かんけい) [kankei]: Relationship; 玄関 (げんかん) [genkan]: Entrance hall
観,3,Quan,カン,kan,み.る,miru,観光 (かんこう) [kankou]: Sightseeing; 観察 (かんさつ) [kansatsu]: Observation
願,3,Nguyện,ガン,gan,"ねが.う, -ねがい","negau, -negai",願い (ねがい) [negai]: Wish/Request; 願書 (がんしょ) [gansho]: Application
希,3,Hy,"キ, ケ","ki, ke",,,希望 (きぼう) [kibou]: Hope; 希少 (きしょう) [kishou]: Scarce/Rare
季,3,Quý,キ,ki,,,季節 (きせつ) [kisetsu]: Season; 四季 (しき) [shiki]: Four seasons
紀,3,Kỷ,キ,ki,,,世紀 (せいき) [seiki]: Century; 紀元前 (きげんぜん) [kigenzen]: B.C.
喜,3,Hỷ,キ,ki,"よろこ.ぶ, よろこ.ばす","yorokobu, yorokobasu",喜ぶ (よろこぶ) [yorokobu]: To be delighted; 喜劇 (きげき) [kigeki]: Comedy
旗,3,Kỳ,キ,ki,はた,hata,旗 (はた) [hata]: Flag; 国旗 (こっき) [kokki]: National flag
器,3,Khí,キ,ki,"うつわ, -うつわ","utsuwa, -utsuwa",楽器 (がっき) [gakki]: Musical instrument; 食器 (しょっき) [shokki]: Tableware
機,3,Cơ,キ,ki,はた,hata,飛行機 (ひこうき) [hikouki]: Airplane; 機会 (きかい) [kikai]: Opportunity
議,3,Nghị,ギ,gi,,,会議 (かいぎ) [kaigi]: Meeting; 議長 (ぎちょう) [gichou]: Chairperson
求,3,Cầu,キュウ,kyuu,"もと.める, もと.む","motomeru, motomu",要求 (ようきゅう) [youkyuu]: Demand; 求人 (きゅうじん) [kyuujin]: Job offer
泣,3,Khấp,キュウ,kyuu,な.く,naku,泣く (なく) [naku]: To cry; 号泣 (ごうきゅう) [goukyuu]: Crying aloud
救,3,Cứu,キュウ,kyuu,すく.う,sukuu,救急車 (きゅうきゅうしゃ) [kyuukyuusha]: Ambulance; 救助 (きゅうじょ) [kyuujo]: Rescue
給,3,Cấp,キュウ,kyuu,たま.う,tamau,給料 (きゅうりょう) [kyuuryou]: Salary; 供給 (きょうきゅう) [kyoukyuu]: Supply
挙,3,Cử,キョ,kyo,"あ.げる, あ.がる, こぞ.って","ageru, agaru, kozotte",選挙 (せんきょ) [senkyo]: Election; 挙手 (きょしゅ) [kyoshu]: Raising hand
漁,2,Ngư,"ギョ, リョウ","gyo, ryou",あさ.る,asaru,漁業 (ぎょぎょう) [gyogyou]: Fishery; 漁師 (りょうし) [ryoushi]: Fisherman
共,3,Cộng,キョウ,kyou,"とも, とも.に, -ども","tomo, tomoni, -domo",共通 (きょうつう) [kyoutsuu]: Common; 公共 (こうきょう) [koukyou]: Public
協,3,Hiệp,キョウ,kyou,,,協力 (きょうりょく) [kyouryoku]: Cooperation; 協会 (きょうかい) [kyoukai]: Association
鏡,3,Kính,キョウ,kyou,かがみ,kagami,鏡 (かがみ) [kagami]: Mirror; 眼鏡 (めがね) [megane]: Glasses
競,3,Cạnh,"キョウ, ケイ","kyou, kei","きそ.う, せ.る, くら.べる","kisou, seru, kuraberu",競争 (きょうそう) [kyousou]: Competition; 競馬 (けいば) [keiba]: Horse racing
極,3,Cực,キョク,kyoku,"きわ.める, きわ.まる, きわ.み","kiwameru, kiwamaru, kiwami",南極 (なんきょく) [nankyoku]: South Pole; 極端 (きょくたん) [kyokutan]: Extreme
訓,3,Huấn,クン,kun,おし.える,oshieru,訓練 (くんれん) [kunren]: Training; 教訓 (きょうくん) [kyoukun]: Lesson/Precept
軍,3,Quân,グン,gun,,,軍隊 (ぐんたい) [guntai]: Army; 将軍 (しょうぐん) [shougun]: General/Shogun
郡,3,Quận,グン,gun,こおり,koori,郡 (ぐん) [gun]: District/County
型,3,Hình,ケイ,kei,"かた, -がた","kata, -gata",型 (かた) [kata]: Type/Model; 血液型 (けつえきがた) [ketsuekigata]: Blood type
径,3,Kính,ケイ,kei,,,直径 (ちょっけい) [chokkei]: Diameter; 半径 (はんけい) [hankei]: Radius
景,3,Cảnh,ケイ,kei,,,景色 (けしき) [keshiki]: Scenery; 景気 (けいき) [keiki]: Business conditions
芸,3,Nghệ,ゲイ,gei,"う.える, のり, わざ","ueru, nori, waza",芸術 (げいじゅつ) [geijutsu]: Art; 芸能 (げいのう) [geinou]: Entertainment
欠,3,Khiếm,ケツ,ketsu,"か.ける, か.く","kakeru, kaku",欠席 (けっせき) [kesseki]: Absence; 欠点 (けってん) [ketten]: Fault/Defect
結,3,Kết,ケツ,ketsu,"むす.ぶ, ゆ.う, ゆ.わえる","musubu, yuu, yuwaeru",結婚 (けっこん) [kekkon]: Marriage; 結果 (けっか) [kekka]: Result
建,4,Kiến,"ケン, コン","ken, kon","た.てる, た.て, -だ.て, た.つ","tateru, tate, -date, tatsu",建物 (たてもの) [tatemono]: Building; 建設 (けんせつ) [kensetsu]: Construction
健,3,Kiện,ケン,ken,すこ.やか,sukoyaka,健康 (けんこう) [kenkou]: Health; 健やか (すこやか) [sukoyaka]: Healthy/Vigorous
験,3,Nghiệm,"ケン, ゲン","ken, gen","あかし, しるし, ため.す, ためし","akashi, shirushi, tamesu, tameshi",試験 (しけん) [shiken]: Exam; 経験 (けいけん) [keiken]: Experience
固,3,Cố,コ,ko,"かた.める, かた.まる, かた.まり, かた.い","katameru, katamaru, katamari, katai",固定 (こてい) [kotei]: Fixing; 固い (かたい) [katai]: Hard/Solid
功,3,Công,"コウ, ク","kou, ku",いさお,isao,成功 (せいこう) [seikou]: Success; 功績 (こうせき) [kouseki]: Achievement
好,3,Hảo,コウ,kou,"この.む, す.く, よ.い, い.い","konomu, suku, yoi, ii",好き (すき) [suki]: Like; 好物 (こうぶつ) [koubutsu]: Favorite food
候,3,Hậu,コウ,kou,そうろう,sourou,気候 (きこう) [kikou]: Climate; 候補 (こうほ) [kouho]: Candidate
航,3,Hàng,コウ,kou,,,航空 (こうくう) [koukuu]: Aviation; 航海 (こうかい) [koukai]: Voyage
告,3,Cáo,コク,koku,つ.げる,tsugeru,報告 (ほうこく) [houkoku]: Report; 広告 (こうこく) [koukoku]: Advertisement
差,3,Sai,サ,sa,さ.す,sasu,差別 (さべつ) [sabetsu]: Discrimination; 交差点 (こうさてん) [kousaten]: Intersection
菜,3,Thái,サイ,sai,な,na,野菜 (やさい) [yasai]: Vegetable; 菜食 (さいしょく) [saishoku]: Vegetarian diet
最,3,Tối,サイ,sai,もっと.も,mottomo,最高 (さいこう) [saikou]: The best/Highest; 最近 (さいきん) [saikin]: Recently
材,3,Tài,ザイ,zai,,,材料 (ざいりょう) [zairyou]: Ingredients/Material; 木材 (もくざい) [mokuzai]: Lumber
昨,4,Tạc,サク,saku,,,昨日 (きのう) [kinou]: Yesterday; 昨年 (さくねん) [sakunen]: Last year
札,3,Trát,サツ,satsu,ふだ,fuda,千円札 (せんえんさつ) [senensatsu]: 1000 yen bill; 改札 (かいさつ) [kaisatsu]: Ticket gate
刷,3,Loát,サツ,satsu,す.る,suru,印刷 (いんさつ) [insatsu]: Printing; 刷新 (さっしん) [sasshin]: Reform/Renovation
殺,3,Sát,"サツ, サイ, セツ","satsu, sai, setsu",ころ.す,korosu,殺人 (さつじん) [satsujin]: Murder; 自殺 (じさつ) [jisatsu]: Suicide
察,3,Sát,サツ,satsu,,,警察 (けいさつ) [keisatsu]: Police; 観察 (かんさつ) [kansatsu]: Observation
参,3,Tham,サン,san,まい.る,mairu,参加 (さんか) [sanka]: Participation; 参る (まいる) [mairu]: To go/come (humble)
産,4,Sản,サン,san,"う.む, う.まれる, うぶ","umu, umareru, ubu",生産 (せいさん) [seisan]: Production; お土産 (おみやげ) [omiyage]: Souvenir
散,3,Tán,サン,san,"ち.る, ち.らす, ち.らかる, ち.らかす","chiru, chirasu, chirakaru, chirakasu",散歩 (さんぽ) [sanpo]: Walk/Stroll; 解散 (かいさん) [kaisan]: Dissolution
残,3,Tàn,ザン,zan,"のこ.る, のこ.す","nokoru, nokosu",残念 (ざんねん) [zannen]: Regret/Pity; 残り (のこり) [nokori]: Remainder
士,3,Sĩ,シ,shi,,,武士 (ぶし) [bushi]: Samurai; 博士 (はかせ) [hakase]: Expert/Doctor
氏,3,Thị,シ,shi,うじ,uji,氏名 (しめい) [shimei]: Full name; 彼氏 (かれし) [kareshi]: Boyfriend
史,3,Sử,シ,shi,,,歴史 (れきし) [rekishi]: History; 日本史 (にほんし) [nihonshi]: Japanese history
司,3,Ty,シ,shi,つかさど.る,tsukasadoru,司会 (しかい) [shikai]: Master of ceremonies; 上司 (じょうし) [joushi]: Boss
試,4,Thí,シ,shi,"ため.す, こころ.みる","tamesu, kokoromiru",試験 (しけん) [shiken]: Exam; 試合 (しあい) [shiai]: Match/Game
児,3,Nhi,"ジ, ニ","ji, ni",,,児童 (じどう) [jidou]: Child/Juvenile; 育児 (いくじ) [ikuji]: Childcare
治,3,Trị,"ジ, チ","ji, chi","おさ.める, おさ.まる, なお.る, なお.す","osameru, osamaru, naoru, naosu",政治 (せいじ) [seiji]: Politics; 治療 (ちりょう) [chiryou]: Medical treatment
辞,4,Từ,ジ,ji,や.める,yameru,辞書 (じしょ) [jisho]: Dictionary; 辞める (やめる) [yameru]: To resign
失,3,Thất,シツ,shitsu,"うしな.う, う.せる","ushinau, useru",失敗 (しっぱい) [shippai]: Failure; 失礼 (しつれい) [shitsurei]: Rude/Excuse me
借,4,Tá,シャク,shaku,か.りる,kariru,借金 (しゃっきん) [shakkin]: Debt; 借りる (かりる) [kariru]: To borrow
種,3,Chủng,シュ,shu,たね,tane,種類 (しゅるい) [shurui]: Type/Kind; 人種 (じんしゅ) [jinshu]: Race (of people)
周,3,Chu,シュウ,shuu,まわ.り,mawari,周辺 (しゅうへん) [shuuhen]: Periphery; 一周 (いっしゅう) [isshuu]: One round/lap
祝,3,Chúc,"シュク, シュウ","shuku, shuu",いわ.う,iwau,祝う (いわう) [iwau]: To celebrate; 祝日 (しゅくじつ) [shukujitsu]: Holiday
順,3,Thuận,ジュン,jun,,,順序 (じゅんじょ) [junjo]: Order/Sequence; 順調 (じゅんちょう) [junchou]: Favorable/Doing well
初,4,Sơ,ショ,sho,"はじ.め, はじ.めて, はつ, うい, そ.める","hajime, hajimete, hatsu, ui, someru",初めて (はじめて) [hajimete]: For the first time; 最初 (さいしょ) [saisho]: First
松,3,Tùng,ショウ,shou,まつ,matsu,"松 (まつ) [matsu]: Pine tree; 松竹梅 (しょうちくばい) [shouchikubai]: Pine, bamboo, and plum"
笑,3,Tiếu,ショウ,shou,"わら.う, え.む","warau, emu",笑う (わらう) [warau]: To laugh; 笑顔 (えがお) [egao]: Smiling face
唱,3,Xướng,ショウ,shou,とな.える,tonaeru,合唱 (がっしょう) [gasshou]: Chorus; 独唱 (どくしょう) [dokushou]: Solo (singing)
焼,3,Thiêu,ショウ,shou,"や.く, や.ける","yaku, yakeru",焼肉 (やきにく) [yakiniku]: Grilled meat; 日焼け (ひやけ) [hiyake]: Sunburn
象,3,Tượng,"ショウ, ゾウ","shou, zou",,,象 (ぞう) [zou]: Elephant; 対象 (たいしょう) [taishou]: Target/Object
照,3,Chiếu,ショウ,shou,"て.る, て.らす, て.れる","teru, terasu, tereru",照明 (しょうめい) [shoumei]: Lighting; 対照 (たいしょう) [taishou]: Contrast
賞,3,Thưởng,ショウ,shou,ほ.める,homeru,賞金 (しょうきん) [shoukin]: Prize money; 受賞 (じゅしょう) [jushou]: Winning a prize
臣,3,Thần,"シン, ジン","shin, jin",,,大臣 (だいじん) [daijin]: Minister; 総理大臣 (そうりだいじん) [souridaijin]: Prime Minister
信,3,Tín,シン,shin,,,信じる (しんじる) [shinjiru]: To believe; 自信 (じしん) [jishin]: Confidence
成,3,Thành,"セイ, ジョウ","sei, jou","な.る, な.す","naru, nasu",成功 (せいこう) [seikou]: Success; 成長 (せいちょう) [seichou]: Growth
省,3,Tỉnh/Tỉnh,"セイ, ショウ","sei, shou","かえり.みる, はぶ.く","kaerimiru, habuku",反省 (はんせい) [hansei]: Reflection; 省略 (しょうりゃく) [shouryaku]: Omission
清,3,Thanh,"セイ, ショウ","sei, shou","きよ.い, きよ.まる, きよ.める","kiyoi, kiyomaru, kiyomeru",清潔 (せいけつ) [seiketsu]: Cleanliness; 清書 (せいしょ) [seisho]: Clean copy
静,3,Tĩnh,"セイ, ジョウ","sei, jou","しず-, しず.か, しず.まる, しず.める","shizu-, shizuka, shizumaru, shizumeru",静か (しずか) [shizuka]: Quiet; 冷静 (れいせい) [reisei]: Calmness
席,3,Tịch,セキ,seki,,,出席 (しゅっせき) [shusseki]: Attendance; 座席 (ざせき) [zaseki]: Seat
積,3,Tích,セキ,seki,"つ.む, -づ.み, つ.もる, つ.もり","tsumu, -zumi, tsumoru, tsumori",面積 (めんせき) [menseki]: Area; 積もる (つもる) [tsumoru]: To pile up
折,3,Chiết,セツ,setsu,"お.る, おり, お.れる","oru, ori, oreru",折る (おる) [oru]: To fold/break; 折り紙 (おりがみ) [origami]: Origami
節,3,Tiết,"セツ, セチ","setsu, sechi","ふし, -ぶし, のっと","fushi, -bushi, notto",季節 (きせつ) [kisetsu]: Season; 節約 (せつやく) [setsuyaku]: Saving/Economizing
説,3,Thuyết,"セツ, ゼイ","setsu, zei",と.く,toku,説明 (せつめい) [setsumei]: Explanation; 小説 (しょうせつ) [shousetsu]: Novel
浅,3,Thiển,セン,sen,あさ.い,asai,浅い (あさい) [asai]: Shallow; 浅草 (あさくさ) [asakusa]: Asakusa
戦,3,Chiến,セン,sen,"いくさ, たたか.う","ikusa, tatakau",戦争 (せんそう) [sensou]: War; 戦う (たたかう) [tatakau]: To fight
選,3,Tuyển,セン,sen,えら.ぶ,erabu,選ぶ (えらぶ) [erabu]: To choose; 選手 (せんしゅ) [senshu]: Player/Athlete
然,3,Nhiên,"ゼン, ネン","zen, nen",しか,shika,全然 (ぜんぜん) [zenzen]: Not at all; 自然 (しぜん) [shizen]: Nature
争,3,Tranh,ソウ,sou,"あらそ.う, いか.でか","arasou, ikadeka",戦争 (せんそう) [sensou]: War; 競争 (きょうそう) [kyousou]: Competition
倉,3,Thương,ソウ,sou,くら,kura,倉庫 (そうこ) [souko]: Warehouse; 鎌倉 (かまくら) [kamakura]: Kamakura
巣,2,Sào,ソウ,sou,"す, す.くう","su, sukuu",巣 (す) [su]: Nest; 巣箱 (すばこ) [subako]: Nest box/Hive
束,3,Thúc,ソク,soku,"たば, たば.ねる, つか, つか.ねる","taba, tabaneru, tsuka, tsukaneru",約束 (やくそく) [yakusoku]: Promise; 花束 (はなたば) [hanataba]: Bouquet
側,3,Trắc,ソク,soku,"かわ, がわ, そば","kawa, gawa, soba",右側 (みぎがわ) [migigawa]: Right side; 側面 (そくめん) [sokumen]: Side/Flank
続,3,Tục,ゾク,zoku,"つづ.く, つづ.ける","tsuzuku, tsuzukeru",続く (つづく) [tsuzuku]: To continue; 連続 (れんぞく) [renzoku]: Continuation/Series
卒,3,Tốt,ソツ,sotsu,,,卒業 (そつぎょう) [sotsugyou]: Graduation; 新卒 (しんそつ) [shinsotsu]: New graduate
孫,3,Tôn,ソン,son,まご,mago,孫 (まご) [mago]: Grandchild; 子孫 (しそん) [shison]: Descendants
帯,3,Đới,タイ,tai,"お.びる, おび","obiru, obi",熱帯 (ねったい) [nettai]: Tropics; 帯 (おび) [obi]: Kimono sash
隊,3,Đội,タイ,tai,,,軍隊 (ぐんたい) [guntai]: Army; 隊長 (たいちょう) [taichou]: Captain/Commander
達,3,Đạt,タツ,tatsu,-たち,-tachi,友達 (ともだち) [tomodachi]: Friend; 発達 (はったつ) [hattatsu]: Development
単,4,Đơn,タン,tan,,,簡単 (かんたん) [kantan]: Simple; 単語 (たんご) [tango]: Vocabulary
置,3,Trí,チ,chi,お.く,oku,置く (おく) [oku]: To put/place; 位置 (いち) [ichi]: Position
仲,3,Trọng,チュウ,chuu,なか,naka,仲間 (なかま) [nakama]: Fellow/Comrade; 仲良し (なかよし) [nakayoshi]: Good friend
貯,3,Trữ,チョ,cho,"た.める, た.まる","tameru, tamaru",貯金 (ちょきん) [chokin]: Savings; 貯水池 (ちょすいち) [chosuichi]: Reservoir
兆,3,Triệu,チョウ,chou,"きざ.す, きざ.し","kizasu, kizashi",一兆 (いっちょう) [icchou]: One trillion; 前兆 (ぜんちょう) [zenchou]: Omen
